,lien,Energie,Kilométrage,Puissance,Mise en circulation,Boite,Date Annonce,prix,Region,Modèle,Marque
19,https://baniola.tn/annonce/details/8067/HYUNDAI-GRAND-I10-ESSENCE-12.html,Essence,65255.0,5 CV,2018.0,Automatique,2022-02-12,38 TND,Sfax,I10,Hyundai
20,https://baniola.tn/annonce/details/6427/Camion-marcades-vito.html,Diesel,413000.0,7 CV,2008.0,Manuelle,,24000 TND,Medenine,Vito,Mercedes
21,https://baniola.tn/annonce/details/8065/Bmw-e60-diesel-.html,Diesel,600.0,11 CV,2006.0,Automatique,2022-02-12,25000 TND,Ben-arous,525,Bmw
22,https://baniola.tn/annonce/details/8062/mitsubishi-l200.html,Diesel,180000.0,10 CV,2013.0,Manuelle,2022-02-12,27500 TND,Ariana,L200,Mitsubishi
23,https://baniola.tn/annonce/details/8064/Voiture-b9-5-place.html,Diesel,300.0,5 CV,2011.0,Manuelle,2022-02-12,00 TND,Gafsa,Partner,Peugeot
24,https://baniola.tn/annonce/details/7829/CITROEN-C3.html,Diesel,249000.0,4 CV,2010.0,Manuelle,2022-01-24,22500 TND,Ben-arous,C3,Citroen
25,https://baniola.tn/annonce/details/8060/Megane-3-boite-6.html,Diesel,,6 CV,2009.0,Manuelle,2022-02-12,25500 TND,Bizerte,Megane,Renault
26,https://baniola.tn/annonce/details/8061/Ford-fiesta.html,Essence,231000.0,5 CV,2007.0,Manuelle,2022-02-12,17000 TND,Tunis,Fiesta,Ford
27,https://baniola.tn/annonce/details/8055/Opel-insignia.html,Essence,125.0,7 CV,2011.0,Manuelle,2022-02-12,29500 TND,Tunis,Insignia,Opel
28,https://baniola.tn/annonce/details/8057/kia-rio-toutes-options.html,Essence,189000.0,5 CV,2012.0,Manuelle,2022-02-12,26000 TND,Gabes,Rio,Kia
29,https://baniola.tn/annonce/details/8058/KIA-Rio-bote-auto.html,Essence,111000.0,6 CV,2014.0,Automatique,2022-02-12,41500 TND,Monastir,Rio,Kia
30,https://baniola.tn/annonce/details/8059/vw-jetta-essence-7cv.html,Essence,167000.0,7 CV,2012.0,Manuelle,2022-02-12,29000 TND,Tunis,Jetta,Volkswagen
31,https://baniola.tn/annonce/details/8054/Grand-punto.html,Essence,178000.0,5 CV,2010.0,Manuelle,2022-02-11,19500 TND,Ariana,Grande punto,Fiat
32,https://baniola.tn/annonce/details/8053/C3-version-feel-1re-main.html,Essence,80000.0,4 CV,2017.0,Manuelle,2022-02-11,111 TND,Jendouba,C3,Citroen
33,https://baniola.tn/annonce/details/8049/Peugeot-301-1er-main.html,Essence,84500.0,5 CV,2018.0,Manuelle,2022-02-11,23850 TND,Zaghouan,Autre,Peugeot
34,https://baniola.tn/annonce/details/8050/SEAT-IBIZA-2014.html,Essence,130000.0,5 CV,2014.0,Manuelle,2022-02-11,27000 TND,Sfax,Ibiza,Seat
35,https://baniola.tn/annonce/details/8052/Mazda-3-Skyactiv.html,Essence,36000.0,6 CV,2018.0,Manuelle,2022-02-11,67000 TND,Ariana,Mazda3,Mazda
36,https://baniola.tn/annonce/details/8048/Peugeot-208.html,Diesel,88000.0,5 CV,2014.0,Manuelle,2022-02-11,0 TND,Manouba,208,Peugeot
37,https://baniola.tn/annonce/details/7642/Ford-Fusion.html,Diesel,135000.0,9 CV,2016.0,Manuelle,2022-01-14,48000 TND,Ariana,Fusion,Ford
38,https://baniola.tn/annonce/details/7343/vente-voiture-CADDY.html,Diesel,210000.0,8 CV,2010.0,Manuelle,2021-12-22,22500 TND,Tunis,Caddy,Volkswagen
39,https://baniola.tn/annonce/details/8047/Volkswagen-polo-7.html,Essence,207000.0, CV,2014.0,Manuelle,2022-02-11,27000 TND,Tunis,Polo,Volkswagen
40,https://baniola.tn/annonce/details/7610/Seat.html,Diesel,170000.0,7 CV,2015.0,Manuelle,2022-01-12,28500 TND,Tunis,Exeo,Seat
41,https://baniola.tn/annonce/details/7984/Voiture-polo-7.html,Essence,108000.0,4 CV,2012.0,Manuelle,2022-02-05,30000 TND,Sfax,Polo,Volkswagen
42,https://baniola.tn/annonce/details/8046/Belle-BMW-X1-trs-faible-kilomtrage.html,Essence,7400.0,8 CV,2021.0,Automatique,2022-02-11,161000 TND,Monastir,X1,Bmw
43,https://baniola.tn/annonce/details/8021/av-c2-essence.html,Essence,220000.0,5 CV,2006.0,Manuelle,2022-02-09,16500 TND,Ben-arous,C2,Citroen
44,https://baniola.tn/annonce/details/8044/Citron-C3-2009.html,Essence,217000.0,4 CV,2009.0,Manuelle,2022-02-10,21.000 TND,Sfax,C3,Citroen
45,https://baniola.tn/annonce/details/8043/D-max-en-tres-bonne-etat.html,Diesel,34.0,8 CV,2016.0,Manuelle,2022-02-10,47.000 TND,Ben-arous,D max,Isuzu
46,https://baniola.tn/annonce/details/8042/PEUGEOT-3008-ess-2013-1re-main-tbtat-encore--tt-neuve-Tel-56-542-201-.html,Essence,136000.0,7 CV,2013.0,Manuelle,2022-02-10,43400 TND,Tunis,3008,Peugeot
47,https://baniola.tn/annonce/details/8040/FRONERA-B-44-TRES-PROPRE.html,Diesel,350000.0,9 CV,1999.0,Manuelle,2022-02-10,29000 TND,Ben-arous,Frontera,Opel
48,https://baniola.tn/annonce/details/8041/KIA-PICANTO.html,Essence,136.0,4 CV,2010.0,Manuelle,2022-02-10,22000 TND,Tunis,Picanto,Kia
49,https://baniola.tn/annonce/details/8037/Polo-7-2013-Toutes-Options-Et-Peinture-dorigine-Premire-main.html,Essence,85000.0,5 CV,2013.0,Manuelle,2022-02-10,0 TND,Ariana,Polo,Volkswagen
50,https://baniola.tn/annonce/details/8038/Fiesta-24000Km-6ans.html,Essence,24000.0,5 CV,2016.0,Manuelle,2022-02-10,39500 TND,Tunis,Fiesta,Ford
51,https://baniola.tn/annonce/details/8039/Isuzu--A-VENDRE.html,Diesel,1.0,9 CV,1995.0,Manuelle,2022-02-10,15000 TND,Tunis,Autre,Isuzu
52,https://baniola.tn/annonce/details/7961/Kia-Rio.html,Essence,128000.0,5 CV,2014.0,Manuelle,2022-02-03,33 TND,Ariana,Rio,Kia
53,https://baniola.tn/annonce/details/8036/Polo-7-1re-main.html,Essence,125000.0,5 CV,2013.0,Manuelle,2022-02-10,0 TND,Sousse,Polo,Volkswagen
54,https://baniola.tn/annonce/details/8033/av-citroen-C2.html,Essence,220000.0,5 CV,2006.0,Manuelle,2022-02-10,16500 TND,Ben-arous,C2,Citroen
55,https://baniola.tn/annonce/details/8035/Hyundai-accent-coupe.html,Essence,118000.0,6 CV,2015.0,Manuelle,2022-02-10,30000 TND,Ben-arous,Accent,Hyundai
56,https://baniola.tn/annonce/details/8032/Brillance-BS6.html,Essence,,8 CV,2007.0,Manuelle,2022-02-09,36500 TND,Nabeul,Galant,Mitsubishi
57,https://baniola.tn/annonce/details/8031/Voiture.html,Diesel,500000.0,7 CV,2001.0,Manuelle,2022-02-09,13500 TND,Zaghouan,Scudo,Fiat
58,https://baniola.tn/annonce/details/8029/A-vendre-clio-classique.html,Essence,2350000.0,5 CV,2003.0,Manuelle,2022-02-09,00 TND,Siliana,Clio,Renault
59,https://baniola.tn/annonce/details/7992/Bmw.html,Diesel,190.0,7 CV,2009.0,Manuelle,2022-02-06,30000 TND,Bizerte,Serie 1 ii,Bmw
60,https://baniola.tn/annonce/details/8024/Opel-astra-h-gtc-sport.html,Diesel,300.0,6 CV,2007.0,Manuelle,2022-02-09,20800 TND,Tunis,Astra,Opel
61,https://baniola.tn/annonce/details/8020/Vendre-Peugeot-508.html,Essence,94000.0,9 CV,2011.0,Manuelle,2022-02-08,35000 TND,Ariana,508,Peugeot
62,https://baniola.tn/annonce/details/7953/Mecedes-glc-300.html,Essence,48000.0,16 CV,2017.0,Automatique,2022-02-02,00 TND,Manouba,Autre,Mercedes
63,https://baniola.tn/annonce/details/7904/Seat-Ibiza.html,Essence,21000.0,4 CV,2020.0,Manuelle,2022-01-29,56 TND,Tunis,Ibiza,Seat
64,https://baniola.tn/annonce/details/8019/Hyundai-i10-60000km-12L.html,Essence,60000.0,5 CV,2017.0,Automatique,2022-02-08,34000 TND,Sousse,I10,Hyundai
65,https://baniola.tn/annonce/details/8016/Mitsubishi-outlander-24-litre.html,Essence,120000.0,11 CV,2010.0,Automatique,2022-02-08,90000 TND,Ariana,Outlander,Mitsubishi
66,https://baniola.tn/annonce/details/8017/Symbol-Elegance.html,Diesel,24500.0,5 CV,2019.0,Manuelle,2022-02-08,41500 TND,Gafsa,Autre,Renault
67,https://baniola.tn/annonce/details/8018/Grand-i10.html,Essence,105.0,5 CV,2017.0,Automatique,2022-02-08,32000 TND,Bizerte,I10,Hyundai
68,https://baniola.tn/annonce/details/8015/Palio-1.html,Essence,395000.0,4 CV,2001.0,Manuelle,2022-02-08,10200 TND,Nabeul,Palio weekend,Fiat
69,https://baniola.tn/annonce/details/8014/Peugeot-Partner.html,Diesel,320.0,7 CV,2007.0,Manuelle,2022-02-07,16000 TND,Bizerte,Partner,Peugeot
70,https://baniola.tn/annonce/details/8013/Hyundai-accent.html,Essence,200.0,6 CV,2012.0,Manuelle,2022-02-07,26.000 TND,Nabeul,Accent,Hyundai
71,https://baniola.tn/annonce/details/8010/Mazda-2.html,Diesel,140000.0,5 CV,2014.0,Manuelle,2022-02-07,25000 TND,Gafsa,Mazda2,Mazda
72,https://baniola.tn/annonce/details/8012/Hyandai-grand-i10.html,Essence,104.0,5 CV,2014.0,Manuelle,2022-02-07,28800 TND,Monastir,I10,Hyundai
73,https://baniola.tn/annonce/details/8009/Polo-6.html,Essence,1000000.0,5 CV,2009.0,Manuelle,2022-02-07,19000 TND,Manouba,Polo,Volkswagen
74,https://baniola.tn/annonce/details/8011/206.html,Essence,295.0,4 CV,2003.0,Manuelle,2022-02-07,14000 TND,Ariana,206,Peugeot
75,https://baniola.tn/annonce/details/8005/-vendre.html,Diesel,0.0,7 CV,2013.0,Manuelle,2022-02-07,00 TND,Ariana,Jumper,Citroen
76,https://baniola.tn/annonce/details/8006/Peugeot-106.html,Essence,215000.0,4 CV,1996.0,Manuelle,2022-02-07,7800 TND,Tunis,106,Peugeot
77,https://baniola.tn/annonce/details/8007/citroen-nemo.html,Diesel,100000.0,5 CV,2016.0,Manuelle,2022-02-07,00 TND,Tataouine,Nemo,Citroen
78,https://baniola.tn/annonce/details/7386/Fiat.html,Essence,260000.0,4 CV,2015.0,Manuelle,2021-12-26,21000 TND,Manouba,Grande punto,Fiat
79,https://baniola.tn/annonce/details/7925/Vendre-Fiat-grande-Punto.html,Essence,260000.0,4 CV,2015.0,Manuelle,2022-01-31,21000 TND,Manouba,Grande punto,Fiat
80,https://baniola.tn/annonce/details/8003/Fiat-punto.html,Essence,180000.0,5 CV,2012.0,Manuelle,2022-02-07,0 TND,Ben-arous,Punto,Fiat
81,https://baniola.tn/annonce/details/8004/Peugeot-607.html,Essence,190000.0,9 CV,2005.0,Manuelle,2022-02-07,0 TND,Ben-arous,607,Peugeot
82,https://baniola.tn/annonce/details/7997/Toyota-yaris-2013.html,Essence,180000.0,5 CV,2013.0,Manuelle,2022-02-06,25000 TND,Tunis,Yaris,Toyota
83,https://baniola.tn/annonce/details/7998/D-max-en-tres-bonne-etat.html,Diesel,34.0,8 CV,2016.0,Manuelle,2022-02-06,47.000 TND,Ben-arous,D max,Isuzu
84,https://baniola.tn/annonce/details/7999/A-vendre-Ford-fiesta-2010.html,Essence,18000.0,5 CV,2010.0,Manuelle,2022-02-06,23000 TND,Ben-arous,Fiesta,Ford
85,https://baniola.tn/annonce/details/8000/Tiggo2.html,Essence,1000.0,6 CV,2022.0,Manuelle,2022-02-06,49000 TND,Tunis,Tiggo 7,Chery
86,https://baniola.tn/annonce/details/8001/Peugeot-partner-5-places.html,Essence,136000.0,5 CV,2009.0,Manuelle,2022-02-06,36000 TND,Tunis,Partner,Peugeot
87,https://baniola.tn/annonce/details/8002/Voiture.html,Essence,95000.0,5 CV,2015.0,Automatique,2022-02-06,23500 TND,Jendouba,Autre,Citroen
88,https://baniola.tn/annonce/details/7996/Peugeot-308.html,Essence,166000.0,6 CV,2009.0,Manuelle,2022-02-06,20500 TND,Bizerte,308,Peugeot
89,https://baniola.tn/annonce/details/7995/Hyundai-grand-i10-1er-main.html,Essence,72000.0,5 CV,2018.0,Manuelle,2022-02-06,31800 TND,Bizerte,I10,Hyundai
90,https://baniola.tn/annonce/details/7911/Geat-Wall-C30--2017.html,Diesel,190000.0,6 CV,2017.0,Manuelle,2022-01-30,25900 TND,Tunis,Great wall m4,Great wall
91,https://baniola.tn/annonce/details/7994/Voiture.html,Essence,107000.0,5 CV,2016.0,Manuelle,2022-02-06,32000 TND,Gafsa,Autre,Chevrolet
92,https://baniola.tn/annonce/details/7990/Grande-Punto-Easy-12.html,Essence,68800.0,4 CV,2017.0,Manuelle,2022-02-06,31000 TND,Tunis,Grande punto,Fiat
93,https://baniola.tn/annonce/details/7991/Dacia-duster.html,Essence,158000.0,7 CV,2012.0,Manuelle,2022-02-06,33990 TND,Ariana,Duster,Dacia
94,https://baniola.tn/annonce/details/7993/Vendre-voiture.html,,,,,,,00 TND,,Clio,Renault
95,https://baniola.tn/annonce/details/7988/Toyota-hiace.html,Diesel,750.0,10 CV,2001.0,Manuelle,2022-02-06,15500 TND,Bizerte,Hi-lux,Toyota
96,https://baniola.tn/annonce/details/7989/Mahindra-k8-Dec2020.html,Diesel,11.0,5 CV,2020.0,Manuelle,2022-02-06,37 TND,Sousse,Autre,Mahindra
97,https://baniola.tn/annonce/details/7719/C5-HDI-importe.html,Diesel,230000.0,6 CV,2011.0,Manuelle,2022-01-19,30000 TND,Ben-arous,C5,Citroen
98,https://baniola.tn/annonce/details/7987/PEUGEOT208.html,Essence,130000.0,5 CV,2016.0,Manuelle,2022-02-06,29000 TND,Gabes,208,Peugeot
99,https://baniola.tn/annonce/details/7981/Golf-7-highline-model-2016.html,Essence,107.0,5 CV,2015.0,Manuelle,2022-02-05,54500 TND,Manouba,Golf,Volkswagen
100,https://baniola.tn/annonce/details/7983/4L.html,Essence,,4 CV,1985.0,Manuelle,,00 TND,Bizerte,R4,Renault
101,https://baniola.tn/annonce/details/7787/Grande-Punto.html,Diesel,205000.0,4 CV,2012.0,Manuelle,2022-01-23,22300 TND,Manouba,Punto,Fiat
102,https://baniola.tn/annonce/details/7921/1RE-MAIN-EN-EXCELLENT-TAT.html,Essence,124000.0,5 CV,2013.0,Automatique,2022-01-30,24400 TND,Ben arous,Micra,Nissan
103,https://baniola.tn/annonce/details/7978/Golf-6-12-TSI-2011.html,Essence,140000.0,7 CV,2011.0,Manuelle,2022-02-05,39000 TND,Sfax,Golf,Volkswagen
104,https://baniola.tn/annonce/details/7977/Clio-compus-essence-4-ch-2011.html,Essence,193000.0,4 CV,2011.0,Manuelle,2022-02-05,000 TND,Monastir,Clio,Renault
105,https://baniola.tn/annonce/details/7872/Audi-A3-S-Line.html,Diesel,280000.0,6 CV,2010.0,Manuelle,2022-01-27,40000 TND,Tunis,A3,Audi
106,https://baniola.tn/annonce/details/7236/Citroen-berlingo-2003.html,Diesel,0.0,7 CV,2003.0,Manuelle,2021-12-11,15200 TND,Zaghouan,Berlingo,Citroen
107,https://baniola.tn/annonce/details/7972/Occasion.html,Diesel,296000.0,5 CV,1998.0,Manuelle,2022-02-04,12000 TND,Zaghouan,Carina,Toyota
108,https://baniola.tn/annonce/details/7973/2-Isuzu-DMax-en-trs-bonne-tat.html,Diesel,118000.0,8 CV,2013.0,Manuelle,2022-02-04,155000 TND,Tunis,D max,Isuzu
109,https://baniola.tn/annonce/details/7974/Vendre-voiture.html,Essence,164000.0,7 CV,2012.0,Manuelle,2022-02-04,27000 TND,Ariana,Fluence,Renault
110,https://baniola.tn/annonce/details/7969/Premire-main.html,Diesel,124000.0,5 CV,2014.0,Manuelle,2022-02-04,29500 TND,Tunis,Autre,Renault
111,https://baniola.tn/annonce/details/7965/Clio-4.html,Essence,145000.0,5 CV,2018.0,Manuelle,2022-02-03,00 TND,Mahdia,Clio,Renault
112,https://baniola.tn/annonce/details/7963/Peugeot-307.html,Essence,236000.0,6 CV,2005.0,Manuelle,2022-02-03,20000 TND,Sousse,307,Peugeot
113,https://baniola.tn/annonce/details/7962/Toyota-yaris-1re-main-dune-femme.html,Essence,79000.0,4 CV,2018.0,Manuelle,2022-02-03,39600 TND,Tunis,Yaris,Toyota
114,https://baniola.tn/annonce/details/7960/VW-polo-3.html,Essence,117000.0,5 CV,1998.0,Manuelle,2022-02-03,10000 TND,Jendouba,Polo,Volkswagen
115,https://baniola.tn/annonce/details/7958/BMW-X5.html,Diesel,396000.0,13 CV,2002.0,Automatique,2022-02-03,28000 TND,Bizerte,X5,Bmw
116,https://baniola.tn/annonce/details/7959/vente-voiture.html,Diesel,143000.0,7 CV,2015.0,Manuelle,2022-02-03,25000 TND,Beja,Bipper,Peugeot
117,https://baniola.tn/annonce/details/7957/KIA-RIO-2017.html,Essence,88800.0,5 CV,2017.0,Manuelle,2022-02-03,38500 TND,Nabeul,Rio,Kia
118,https://baniola.tn/annonce/details/7952/Clio-bomb-srie-97-essence.html,,,,,,,15500 TND,,Clio,Renault
119,https://baniola.tn/annonce/details/7951/Peugeot-307.html,Diesel,236000.0,6 CV,2005.0,Manuelle,2022-02-02,20000 TND,Sousse,307,Peugeot
120,https://baniola.tn/annonce/details/7949/A-vendre-polo-7-16-TDI-IMPORTE.html,Diesel,325.0,5 CV,2011.0,Manuelle,2022-02-02,29000 TND,Manouba,Polo,Volkswagen
121,https://baniola.tn/annonce/details/7947/Partner-5-place-disel.html,Diesel,360.0,5 CV,2004.0,Manuelle,2022-02-01,24000 TND,Bizerte,Partner,Peugeot
122,https://baniola.tn/annonce/details/7305/Ford-Focus.html,Diesel,208000.0,6 CV,2012.0,Manuelle,2021-12-18,30000 TND,Siliana,Focus,Ford
123,https://baniola.tn/annonce/details/7945/Opel-Corsa-2017.html,Essence,50000.0,5 CV,2017.0,Manuelle,2022-02-01,00 TND,Ben-arous,Corsa,Opel
124,https://baniola.tn/annonce/details/7942/Avendre-ds3.html,Essence,101000.0,5 CV,2013.0,Manuelle,2022-02-01,33000 TND,Ariana,Ds3,Ds
125,https://baniola.tn/annonce/details/7941/bmw-e34.html,Diesel,0.0,10 CV,1996.0,Manuelle,2022-02-01,11000 TND,Ariana,525,Bmw
126,https://baniola.tn/annonce/details/7940/Kia-picanto.html,Essence,109.0,5 CV,2017.0,Manuelle,2022-02-01,28500 TND,Bizerte,Picanto,Kia
127,https://baniola.tn/annonce/details/7928/Lada-niva-4x4.html,Essence,40000.0,9 CV,1991.0,Manuelle,2022-01-31,15000 TND,Nabeul,110,Lada
128,https://baniola.tn/annonce/details/7936/polo-6-sdi.html,Diesel,238000.0,4 CV,2010.0,Manuelle,2022-01-31,16500 TND,Ben-arous,Polo,Volkswagen
129,https://baniola.tn/annonce/details/7937/Peugeot-106-en-bon-tat.html,Essence,430000.0,4 CV,1997.0,Manuelle,2022-01-31,10500 TND,Jendouba,106,Peugeot
130,https://baniola.tn/annonce/details/7932/-Hyundai-SOLARIS--vendre.html,Essence,131000.0,6 CV,2017.0,Manuelle,2022-01-31,34000 TND,Tunis,Accent,Hyundai
131,https://baniola.tn/annonce/details/7930/Bmw-srie-1.html,Essence,250.0,7 CV,2009.0,Manuelle,2022-01-31,35000 TND,Ben-arous,116,Bmw
132,https://baniola.tn/annonce/details/7927/Golf-4-16-SR.html,Essence,239695.0,7 CV,1999.0,Manuelle,2022-01-31,21000 TND,Manouba,Golf,Volkswagen
133,https://baniola.tn/annonce/details/7929/Grand-jeep-Cherokee-zj.html,Diesel,319.0,10 CV,1997.0,Manuelle,2022-01-31,15000 TND,Nabeul,Autre,Jeep
134,https://baniola.tn/annonce/details/7924/Nissan-Quashqai.html,Diesel,99130.0,7 CV,2016.0,Manuelle,2022-01-31,00 TND,Sidi bouzid,Qashqai,Nissan
135,https://baniola.tn/annonce/details/7923/Peugeot-307.html,Essence,360000.0,6 CV,2005.0,Manuelle,2022-01-30,15000 TND,Monastir,307,Peugeot
136,https://baniola.tn/annonce/details/7917/Peugeot-207.html,Diesel,220.0,4 CV,2009.0,Manuelle,2022-01-30,17 TND,Siliana,207,Peugeot
137,https://baniola.tn/annonce/details/7918/Vente-Isuzu-4-portes.html,Diesel,66300.0,8 CV,2018.0,Manuelle,2022-01-30,00 TND,Kebili,D max,Isuzu
138,https://baniola.tn/annonce/details/7915/Ford-focus-titanium-ecoboost-2017.html,Essence,100000.0,6 CV,2017.0,Manuelle,2022-01-30,0 TND,Ariana,Focus,Ford
139,https://baniola.tn/annonce/details/7916/Fiat-Punto-grandi-modle-2017.html,Essence,200000.0,4 CV,2017.0,Manuelle,2022-01-30,25000 TND,Bizerte,Punto,Fiat
140,https://baniola.tn/annonce/details/7914/Excellente-occasion.html,Essence,20000.0,7 CV,2020.0,Automatique,2022-01-30,00 TND,Tunis,Ecosport,Ford
141,https://baniola.tn/annonce/details/7909/MERCEDES-BENZ-E200-type-w212-FINITION-avantgarde-blueefficiency--8-cv-diesel--03.html,Diesel,197500.0,8 CV,2012.0,Manuelle,2022-01-30,0 TND,Ariana,200,Mercedes
142,https://baniola.tn/annonce/details/7912/PEUGEOT208.html,Essence,129500.0,5 CV,2016.0,Manuelle,2022-01-30,29500 TND,Gabes,208,Peugeot
143,https://baniola.tn/annonce/details/7908/C3.html,Essence,96000.0,5 CV,2017.0,Manuelle,2022-01-30,41000 TND,Ben-arous,C3,Citroen
144,https://baniola.tn/annonce/details/7907/Passat-b7-20-tdi.html,Diesel,215000.0,8 CV,2009.0,Automatique,2022-01-29,35000 TND,Ben-arous,Passat,Volkswagen
145,https://baniola.tn/annonce/details/7649/TOYOTA-AYGO.html,Diesel,90000.0,4 CV,2014.0,Manuelle,2022-01-15,40500 TND,Zaghouan,Aygo,Toyota
146,https://baniola.tn/annonce/details/7906/Symbole-2010.html,Essence,234000.0,5 CV,2010.0,Manuelle,2022-01-29,0 TND,Sousse,Autre,Renault
147,https://baniola.tn/annonce/details/7881/-Renault-symbole-2010.html,Essence,234000.0,5 CV,2010.0,Manuelle,2022-01-27,0 TND,Sousse,Autre,Renault
148,https://baniola.tn/annonce/details/7903/Belle-C3-shine.html,Essence,12200.0,4 CV,2018.0,Manuelle,2022-01-29,48000 TND,Tunis,C3,Citroen
149,https://baniola.tn/annonce/details/7902/A-vendre-DS3.html,Essence,105000.0,5 CV,2015.0,Manuelle,2022-01-29,37000 TND,Sousse,Ds3,Citroen
150,https://baniola.tn/annonce/details/7901/C3-Premire-main.html,Essence,127000.0,5 CV,2012.0,Manuelle,2022-01-29,26000 TND,Tunis,C3,Citroen
151,https://baniola.tn/annonce/details/7869/Ford-titanium-2018.html,Diesel,50.0,5 CV,2018.0,Manuelle,2022-01-26,39.000 TND,Tunis,Fiesta,Ford
152,https://baniola.tn/annonce/details/7899/mteur-noir.html,Essence,111111.0,5 CV,1984.0,Manuelle,2022-01-28,6500 TND,Tunis,Escort,Ford
153,https://baniola.tn/annonce/details/7897/C5-2-litres-hdi.html,Diesel,228000.0,6 CV,2002.0,Manuelle,2022-01-28,12345 TND,Sousse,C5,Citroen
154,https://baniola.tn/annonce/details/7898/megane-essance.html,Essence,202000.0,6 CV,2007.0,Manuelle,2022-01-28,17000 TND,Kairouan,Megane,Renault
155,https://baniola.tn/annonce/details/7865/Mazeda5-7-places.html,Diesel,1500.0,9 CV,2007.0,Manuelle,2022-01-26,0 TND,Ariana,Mazda5,Mazda
156,https://baniola.tn/annonce/details/7275/A-vendre-une-belle-Opel-Astra-H.html,Essence,155000.0,5 CV,2009.0,Manuelle,2021-12-14,25000 TND,Tunis,Astra,Opel
157,https://baniola.tn/annonce/details/7892/Caddy-prestige.html,Diesel,115000.0,5 CV,2018.0,Manuelle,2022-01-28,43000 TND,Tunis,Caddy,Volkswagen
158,https://baniola.tn/annonce/details/7890/RENAULT-R21-Diesel.html,Diesel,208000.0,6 CV,1988.0,Manuelle,2022-01-28,10000 TND,Sfax,R21,Renault
159,https://baniola.tn/annonce/details/7893/voiture-familiale-et-conomique.html,Diesel,274000.0,5 CV,2009.0,Manuelle,2022-01-28,27000 TND,Tunis,Scenic,Renault
